Country,Parameter link,Dystopia (2.43) + residual,Explained by: Freedom to make life choices,Explained by: Economy,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Perceptions of corruption,Explained by: Social support,Happiness score,Interval,Range,Range,Rank,Whisker-high,Whisker-low
102.        Guinea (4.984)*,TRUE,3.215928793,0.383869529,0.420094103,0.249736339,0.205668122,0.110510945,0.398512334,4.984300137,5.16044569,0.352291107,0.352291107,102,5.16044569,4.808154583
103.        South Africa (4.956),TRUE,2.187165976,0.447348982,0.966799676,0.144268721,0.265375316,0.050864778,0.894595921,4.956399918,5.073762417,0.234724998,0.234724998,103,5.073762417,4.839037418
104.        Turkey (4.948),TRUE,1.851704597,0.236134768,1.259536505,0.096995942,0.589612722,0.104420386,0.809199691,4.947599888,5.037962437,0.180725098,0.180725098,104,5.037962437,4.857237339
105.        Pakistan (4.934)*,TRUE,2.784215689,0.418382078,0.636890531,0.251620471,0.322224617,0.097167663,0.423490375,4.934000015,5.06631422,0.26462841,0.26462841,105,5.06631422,4.80168581
106.        Morocco (4.918),TRUE,2.749074936,0.476750553,0.792185187,0.034210168,0.558407784,0.087927677,0.219433337,4.918000221,5.036342144,0.236683846,0.236683846,106,5.036342144,4.799658298
107.        Venezuela (4.892),TRUE,2.135181665,0.284291089,0.851691663,0.077886447,0.573896229,0.07186351,0.897400439,4.892199993,5.017307758,0.25021553,0.25021553,107,5.017307758,4.767092228
108.        Georgia (4.891),TRUE,2.191350222,0.48777321,1.030385375,0.032426182,0.498313159,0.18133533,0.469773948,4.89139986,4.99759388,0.212388039,0.212388039,108,4.99759388,4.785205841
109.        Algeria (4.887)*,TRUE,2.241737366,0.119209297,0.945766628,0.144275308,0.551997662,0.119552895,0.764516771,4.88710022,4.991073608,0.207946777,0.207946777,109,4.991073608,4.783126831
110.        Ukraine (4.875),TRUE,1.813108444,0.41700694,0.97850287,0.180776417,0.517264843,0.009901578,0.958214283,4.874800205,4.976765633,0.203930855,0.203930855,110,4.976765633,4.772834778
111.        Iraq (4.854),TRUE,2.428948164,0.301794112,0.910021007,0.153345704,0.381256133,0.040897746,0.637800097,4.854100227,4.969929695,0.231658936,0.231658936,111,4.969929695,4.73827076
112.        Gabon (4.852)*,TRUE,2.200615406,0.424436808,1.03682816,0.057598215,0.361675948,0.063625537,0.706974506,4.851799965,4.997934341,0.292268753,0.292268753,112,4.997934341,4.705665588
